Store ID,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1,1963,2663,372,114381
2,3094,1350,673,67867
3,2735,1110,331,45823
4,3285,2208,477,104602
5,1653,2125,543,106117
6,3246,2789,223,49172
7,1716,1378,603,72135
8,3857,1864,471,44992
9,4751,2081,463,68455
10,2537,1153,490,57408
11,4973,2544,493,101896
12,1966,2321,419,77526
13,2953,2335,500,86149
14,2103,2967,472,103111
15,4725,1685,537,102881
16,4898,1665,643,47056
17,2205,2039,426,68100
18,1923,1922,597,63310
19,3496,1167,286,95985
20,3328,2353,634,71214
21,4712,2996,449,113466
22,4981,2766,560,105405
23,4609,1159,635,108452
24,4664,2196,387,113362
25,2169,2128,203,39833
26,2017,1879,680,111861
27,2804,2756,207,61994
28,1684,2955,523,39704
29,4953,2101,665,86592
30,4136,1852,424,90269
31,2867,2518,592,94118
32,2745,1933,522,110854
33,4811,1477,463,63427
34,2974,1936,610,84125
35,1872,2658,481,90817
36,4841,2205,607,30988
37,4631,1608,553,108045
38,4508,2750,684,36251
39,4117,1950,255,88410
40,4044,1529,406,58691
41,4055,1365,428,76867
42,2218,1748,634,47454
43,2978,2280,380,41697
44,4331,1802,379,37283
45,3731,2719,278,55230
46,3848,2774,676,108464
47,2832,2594,324,46993
48,3595,2647,309,111032
49,3738,1415,648,92106
50,2717,1732,545,101377
